    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:342:14)
    at sqliteTransaction (C:\Workshop\Commision-Employee\node_modules\better-sqlite3\lib\methods\transaction.js:65:24)
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:347:5)
    at Layer.handleRequest (C:\Workshop\Commision-Employee\node_modules\router\lib\layer.js:152:17)
    at next (C:\Workshop\Commision-Employee\node_modules\router\lib\route.js:157:13)
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:55:5)
    at C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:261:12
    at getSecret (C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:97:14)
    at module.exports [as verify] (C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:101:10)
    at authenticateToken (C:\Workshop\Commision-Employee\server\index.ts:52:7)
[2026-03-25T03:20:16.298Z] OPTIONS /api/products
[2026-03-25T03:20:16.299Z] GET /api/products
[2026-03-25T03:20:33.311Z] OPTIONS /api/invoices
[2026-03-25T03:20:33.313Z] OPTIONS /api/settings
[2026-03-25T03:20:33.319Z] GET /api/invoices
[2026-03-25T03:20:33.321Z] GET /api/settings
[2026-03-25T03:20:34.163Z] OPTIONS /api/products
[2026-03-25T03:20:34.165Z] GET /api/products
[2026-03-25T03:20:41.212Z] OPTIONS /api/products/import
[2026-03-25T03:20:41.213Z] POST /api/products/import
[2026-03-25T03:20:41.252Z] Product import error: NOT NULL constraint failed: products.bottom_price
SqliteError: NOT NULL constraint failed: products.bottom_price
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:342:14)
    at sqliteTransaction (C:\Workshop\Commision-Employee\node_modules\better-sqlite3\lib\methods\transaction.js:65:24)
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:347:5)
    at Layer.handleRequest (C:\Workshop\Commision-Employee\node_modules\router\lib\layer.js:152:17)
    at next (C:\Workshop\Commision-Employee\node_modules\router\lib\route.js:157:13)
    at <anonymous> (C:\Workshop\Commision-Employee\server\index.ts:55:5)
    at C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:261:12
    at getSecret (C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:97:14)
    at module.exports [as verify] (C:\Workshop\Commision-Employee\node_modules\jsonwebtoken\verify.js:101:10)
    at authenticateToken (C:\Workshop\Commision-Employee\server\index.ts:52:7)
[2026-03-25T03:20:52.074Z] OPTIONS /api/products/import
[2026-03-25T03:20:52.076Z] POST /api/products/import
