             ,,,HARGA USER ( LANTAI ),,,,HARGA USER ( AKSESORIS ),,,,,,
LIST PLAT (2CM X 50M), Rp 274.600 ,NEW,BRAKET PUTAR 10X5 , Rp 49.800 ,NEW,,LIST MOULDING PAKETAN SULTAN UK 5 X 3 ,Rp1.002.200,new,,Rp902.200,Rp72.176,Rp1.074.376
LIST PLAT GOLD (3CM X 50M), Rp 330.000 ,,DUDUKAN (4X5), Rp 54.500 ,NEW,,LIST MOULDING KOTAK + LIST GOLD UK 2 X 3 ,Rp585.200,new,,Rp485.200,Rp38.816,Rp624.016
LIST STRIP SOFA (3MM) 1M, Rp 6.100 ,,DUDUKAN (10X5), Rp 78.000 ,kosong,,LIST MOULDING KOTAK + LIST GOLD UK  3 X 3,Rp1.151.800,new,,Rp1.051.800,Rp84.144,Rp1.235.944
LIST STRIP SOFA (8MM) 1M, Rp 8.200 ,,"PVC SEKAT RUANGAN (40CM X 3,5M)", Rp 335.000 ,kosomg ada defect,,LIST MOULDING KOTAK + LIST GOLD UK 4 X 3 ,Rp1.420.800,new,,Rp1.320.800,Rp105.664,Rp1.526.464
LIST STRIP SOFA (30MM) 1M, Rp 10.800 ,,"PVC SEKAT RUANGAN (40CM X 1,75M)", Rp 177.500 ,kosong ada defect,,"KACA PAKETAN 56CM X 112CM  ( SINGLE )   bingkai kotak      Rp 626,000",Rp676.200,,,Rp576.200,Rp46.096,Rp722.296
LIST STICKER (3CM X 50M), Rp 44.500 ,,"PVC SEKAT RUANGAN (40CM X 2,9M)", Rp 324.300 ,NEW,,"KACA PAKETAN 84CM X 112CM ( SINGLE )  bingkai kotak        Rp 821,000",Rp853.500,,,Rp753.500,Rp60.280,Rp913.780
LIST STICKER (2CM X 50M), Rp 33.000 ,,"PVC SEKAT RUANGAN (40CM X 1,45M)", Rp 175.800 ,NEW,,"KACA PAKETAN 112CM X 112CM ( SINGLE )  bingkai kotak      Rp 1,016,000",Rp1.064.200,,,Rp964.200,Rp77.136,Rp1.141.336
LIST AKRILIK, Rp 8.950 ,,SIKU PVC SEKAT RUANGAN, Rp 192.000 ,NEW,,"KACA PAKETAN 140CM X 140CM ( SINGLE )  bingkai kotak      Rp 1,544,000",Rp1.600.200,,,Rp1.500.200,Rp120.016,Rp1.720.216
LIST ENDING 8MM, Rp 58.800 ,NEW+5\,LIST PLAFON LAMPU (1M), Rp 53.200 ,NEW,,"KACA PAKETAN 140CM X 196CM ( SINGLE ) bingkai kotak       Rp 2,026,000",Rp2.121.500,,,Rp2.021.500,Rp161.720,Rp2.283.220
LIST  T  5 MM, Rp 56.800 ,NEW+5\,LIST PLAFON LAMPU (2M), Rp 70.200 ,NEW,,"KACA PAKETAN 112CM X 140CM ( SINGLE )  bingkai kotak       RP 1,211,000",Rp1.274.800,,,Rp1.174.800,Rp93.984,Rp1.368.784
LIST U , Rp 60.800 ,NEW,LIST PLAFON LAMPU (3M), Rp 85.500 ,NEW,,"KACA PAKETAN 56CM X 112CM   ( )  bingkai kotak      Rp 672,000",Rp625.800,,,Rp525.800,Rp42.064,Rp667.864
PVC BOARD SHEET, Rp 577.000 ,NEW,KISI KISI PLAFON (9X5), Rp 106.900 ,NEW,,"KACA PAKETAN 84CM X 112CM ( )  bingkai kotak       RP 867,000",Rp820.800,,,Rp720.800,Rp57.664,Rp878.464
KULIT BATU, Rp 230.800 ,NEW,"KISI KISI PLAFON (4X4,5)", Rp 74.600 ,NEW,,"KACA PAKETAN 112CM X 112CM ( )  bingkai kotak  Rp 1,108,000",Rp1.046.400,,,Rp946.400,Rp75.712,Rp1.122.112
WALLBOARD 60CM, Rp 198.800 ,NEW,"TIANG BRACKET PLAFON 2,7M", Rp 27.800 ,new'+5k,,"KACA PAKETAN 140CM X 140CM  ( )  bingkai kotak Rp 1,728,000",Rp1.604.800,,,Rp1.504.800,Rp120.384,Rp1.725.184
