No. Barang,Keterangan Barang,Jumlah,bottom price
AT-PANEL CA 103 (1 METER),PANEL CA UK 30 CM,"46,800","43,056"
AT-PANEL CA 102 (ISI 10 BTG),PANEL AC UK 30 CM,"98,800","90,896"
AT-PANEL CA 102 (1 METER),PANEL AC UK 30 CM,"46,800","43,056"
AT-PANEL CA 101 (ISI 10 BTG),PANEL AC UK 30 CM,"98,800","90,896"
AT-PANEL CA 101 (1 METER),PANEL AC UK 30 CM,"46,800","43,056"
AT-LMT 6 CM,LIST MOULDING,"48,000","44,160"
"AT-LMT 2,5 CM",LIST MOULDING,"22,900","21,068"
AT-LM 6 CM,LIST MOULDING,"52,000","47,840"
AT-LM 4 CM,LIST MOULDING,"32,000","29,440"
AT-KS 34 UK 10 CM X 5 CM,KISI PARTISI,"106,900","98,348"
AT-KS 31 UK 10 CM X 5 CM,KISI PARTISI,"106,900","98,348"
AT-KS 121 UK 10 CM X 5 CM,KISI PARTISI,"106,900","98,348"
AT- Y 92,WPC PANEL 4 STRIP,88.800,82
AT- Y 47,WPC PANEL 4 STRIP,88.800,82
AT- Y 34,WPC PANEL 4 STRIP,88.800,82
"AT- Y 102 (ABU"" GLITER) - (1M)",WPC PANEL 4 STRIP,"36,000","33,120"
"AT- Y 102 (ABU"" GLITER) - (1M)",WPC PANEL 4 STRIP,"88,800","81,696"
AT- Y 101 (PUTIH GLITER) (1M),WPC PANEL 4 STRIP,"36,000","33,120"
AT- Y 101 (PUTIH GLITER),WPC PANEL 4 STRIP,"88,800","81,696"
AT- LY 24,PLINT L,"88,800","81,696"
"AT- KS121 PLAFON (4CM X 4,5CM)",KISI-KISI PLAFON,"74,600","68,632"
AT- KS 34 PLAFON (5 CM X 9 CM),KISI-KISI PLAFON,"106,900","98,348"
"AT- KS 34 PLAFON (4CM X 4,5CM)",KISI-KISI PLAFON,"74,600","68,632"
AT- KS 31 PLAFON (5 CM X 9 CM),KISI-KISI PLAFON,"106,900","98,348"
"AT- KS 31 PLAFON (4CM X 4,5CM)",KISI-KISI PLAFON,"74,600","68,632"
AT- KS 121 PLAFON(5 CM X 9 CM),KISI-KISI PLAFON,"106,900","98,348"
AT- KL 8273,PVC MARBLE,"386,800","355,856"
AT- KL 8088,PVC MARBLE,"386,800","355,856"
AT- DY 022 - (1.45M),PVC MARBLE,"278,900","256,588"
AT- DY 022,PVC MARBLE,"386,800","355,856"
AT- 8047A,PVC MARBLE,"386,800","355,856"
AT- 8038A,PVC MARBLE,"386,800","355,856"
"AT- 8006T (1,22M X 1,45M)",PVC MARBLE,"428,280","394,018"
AT- 8006T,PVC MARBLE,"386,800","355,856"
AT- 002 HITAM SERAT PUTIH,PVC MARBLE,"386,800","355,856"
AT KS 02 UK 4 CM X 5 CM,KISI PARTISI,"74,600","68,632"
AT DY 03,AT DECKING FLOOR,"217,900","200,468"
AT DY 02,AT DECKING FLOOR,"217,900","200,468"
AT DY 01,AT DECKING FLOOR,"217,900","200,468"
AT 8041A,PVC MARBLE,"386,800","355,856"
"AT - PVCB 01 - SILVER (1,45M)",PVC BOARD SILVER DOVE,"225,750","207,690"
"AT - MIXED TEAK (GANDA) 1,5M",WPC PANEL OUTDOOR GANDA WARNA MIXED TEAK,"525,000","483,000"
"AT - KL 8273 (1,45M)",PVC MARBLE,"856,388","787,877"
AT - 8056-1A,PVC MARBLE,"386,800","355,856"
"AT - 002 (1,45M)",PVC MARBLE,"278,900","256,588"
AO222 PVC SHEET(50M X 120CM),PVC SHEET MARBLE STICKER FURNITURE,"800,000","736,000"
AO222 PVC SHEET(25CM X 120CM),PVC SHEET MARBLE STICKER FURNITURE,"800,000","736,000"
AO220 PVC SHEET (25CM X120CM),PVC SHEET MARBLE STICKER FURNITURE,"10,000","9,200"
AO217 PVC SHEET(50 M X 120 CM),PVC SHEET MARBLE STICKER FURNITURE (ROLLAN),"10,000","9,200"
AO217 PVC SHEET(25CM X 120CM),PVC SHEET MARBLE STICKER FURNITURE,"484,268","445,527"
AO216 PVC SHEET(50M X 120 CM),PVC SHEET MARBLE STICKER FURNITURE (ROLLAN),"800,000","736,000"
AO216 PVC SHEET (25CM X 120CM),PVC SHEET MARBLE STICKER FURNITURE,"170,822","157,156"
AO 232 PVC SHEET (25CM X125CM),PVC SHEET MARBLE STICKER FURNITURE,"120,500","110,860"
AO 232 PVC SHEET (120CM X 50M),PVC SHEET MARBLE STICKER FURNITURE,"679,400","625,048"
AO 220 PVC SHEET (50M X 120CM),PVC SHEET MARBLE STICKER FURNITURE (ROLLAN),"800,000","736,000"
AO 215 PVC SHEET(120CM X 25CM),PVC SHEET MARBLE FURNITURE,"99,148","91,216"
AO 211 PVC SHEET (25CM X120CM),PVC SHEET MARBLE STICKER FURNITURE,"1,374,724","1,264,746"
AO 211 PVC SHEET (120CM X 50M),PVC SHEET MARBLE STICKER FURNITURE,"778,520","716,238"
A56055 (78),WALLPAPER DELAPAN,"888,000","816,960"
A-161707 (39),CHLOE,"214,140","197,009"
A-161702 (40),CHLOE,"901,024","828,942"
A-161507 (26),CH,"42,828","39,402"
A-161501 (30),CH,"214,140","197,009"
A-160912 (89),CH (katalog besar dan Kecil -  style beda Warna ),"128,484","118,205"
A-160906 (88),CH,"135,000","124,200"
A-160105 (96),CHLOE,"1,171,390","1,077,679"
A-160103 (95),CHLOE,"957,596","880,988"
952202 (47),WALLPAPER DELAPAN,"478,400","440,128"
951704 (17),WALLPAPER DELAPAN,"180,084","165,677"
951405 (53),WALLPAPER DELAPAN,"478,400","440,128"
951404 (54),WALLPAPER DELAPAN,"418,600","385,112"
951203 (38),WALLPAPER DELAPAN,"418,800","385,296"
950501 (42),WALLPAPER DELAPAN,"85,656","78,804"
920802 (14),GE,"85,656","78,804"
920706 (48),GE,"385,452","354,616"
920704 (47),GE,"1,199,184","1,103,249"
920209 (81),GE,"128,484","118,205"
920094 (2),WALLPAPER DELAPAN,"478,400","440,128"
920093 (3),WALLPAPER DELAPAN,"478,400","440,128"
920063 (55),WALLPAPER DELAPAN,"101,436","93,321"
920061 (56),WALLPAPER DELAPAN,"171,312","157,607"
910144 (58),WALLPAPER DELAPAN,"478,400","440,128"
910141 (60),WALLPAPER DELAPAN,"478,400","440,128"
910101 (12),WALLPAPER DELAPAN,"143,638","132,147"
8041A UKR 1.22M X 1.45M,PVC MARBLE,"214,140","197,009"
80141A UKR 1.22M X 1.45M,PVC MARBEL,"342,968","315,531"
71141 (26),WALLPAPER DELAPAN,"279,200","256,864"
71113 (27),WALLPAPER DELAPAN,"120,056","110,452"
191602 (86),GE,"1,968,000","1,810,560"
190908 (83),GREEN 8 CITY,"171,312","157,607"
190905 (88),GREEN 8 CITY,"513,936","472,821"
190701 (69),GREEN 8 CITY,"558,400","513,728"
190607 (74),GE,"707,800","651,176"
"05 PENUTUP LIST PLANK ABU""MUDA",AKSESORIS LIST PLANK ALUMUNIUM,"373,180","343,326"
"05 PENUTUP LIST PLANK ABU"" TUA",AKSESORIS LIST PLANK ALUMUNIUM,"30,780","28,318"
04 KLIP LIST PLANK ALUMUNIUM,AKSESORIS LIST PLANK ALUMUNIUM,"312,470","287,472"
"03 CONNECTOR DALAM ABU"" TUA",AKSESORIS LIST PALNK ALUMUNIUM,"16,856","15,508"
"03 CONNECTOR DALAM ABU"" MUDA",AKSESORIS LIST PLANK ALUMUNIUM,"299,272","275,330"
"02 CONNECTOR LUAR ABU"" MUDA",AKSESORIS LIST PLANK ALUMUNIUM,"230,000","211,600"
"01 MIDDLE ABU"" MUDA",AKSESORIS LIST PLANK ALUMUNIUM,"443,908","408,395"
01 MIDDLE,AKSESORIS LIST PLANK ALUMUNIUM,"16,856","15,508"
"AT-PVCB 03 BROWNZE(MIROR)1,45M",PVC BOARD MIRROR BROWNZE,"298,500","274,620"
"AT-PVCB 13 BLACK (1,45M)",PVC BOARD MIRROR BLACK,"298,500","274,620"
"AT-PVCB 18 PINK (MIRROR) 1,45M",PVC BOARD MIRROR PINK,"298,500","274,620"
WB X- 042,WALLBOARD 8MM 1DUS ISI 8,"116,800","107,456"
WB X- 99,WALLBOARD 8 MM ISI 1 DUS 8,"116,800","107,456"
WB X-06,WALLBOARD 8 MM 1DUS ISI 8,"116,800","107,456"
WB XS 042,WALLBOARD,"116,800","107,456"
WB XS 045,WALLBOARD,"116,800","107,456"
WB XS 058,WALLBOARD,"116,800","107,456"
WB XS 062,WALLBOARD,"116,800","107,456"
WB XS 063,WALLBOARD,"116,800","107,456"
"WB ATX - 035 (1,5M)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - 037 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - 039 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - 042 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - 043 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - 045 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - 058 (1,5M)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - 06 (1,5M)","WALLBOARD 8 MM 1 DUS ISI 10 (1,5 METER)","74,800","68,816"
"WB ATX - 082 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - 099 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - 82 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - A207 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - A209 (1,5M)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB ATX - A228 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 10,"74,800","68,816"
"WB SR X 809 (1,5 M)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SR-X 03 (1,5 M)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SR-X 109 (1,5M)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SR-X 212 (1,5M)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SRX- 06 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SRX- 106 (1,5M)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SRX- 340 (1,5M)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SRX- 81 (1,5M)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SRX- 88 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SRX-08 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SRX-082 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SRX-172 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB SRX-436 (1,5M)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB X - 029 (1,5meter)",WALLBOARD 8 MM,"74,800","68,816"
"WB X - 032 (1,5 METER)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB X - 035 (1,5m)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB X - 037 (1,5METER)",WALLBOARD 8 MM 1DUS ISI 8,"74,800","68,816"
"WB X - 043 (1,5meter)",WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB X - 045 (1,5M)",WALLBOARD,"74,800","68,816"
WB X - 058 (1.5M),WALLBOARD 8 MM 1 DUS ISI 8,"74,800","68,816"
"WB X - 06 (1,5 METER)",WALLBOARD 8MM 1DUS ISI 8,"74,800","68,816"
"WB X- 042 - (1,5M)",WALLBOARD 8MM 1DUS ISI 8,"74,800","68,816"
WB X- 99 (1.5M),WALLBOARD 8 MM ISI 1 DUS 8,"74,800","68,816"
"WB XS 042 (1,5M)",WALLBOARD,"74,800","68,816"
"WB XS 045 (1,5M)",WALLBOARD,"74,800","68,816"
"WB XS 058 (1,5M)",WALLBOARD,"74,800","68,816"
"WB XS 062 (1,5M)",WALLBOARD,"74,800","68,816"
"WB XS 063 (1,5meter)",WALLBOARD,"74,800","68,816"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,"14,010,062,533.82",
