No. Barang,Keterangan Barang,Jumlah,bottom price
LIST PLANK M- 014 (B),LIST PLANK (B),"60,800","55,936"
LIST PLANK HITAM SOLID (B),LIST PLANK (B),"60,800","55,936"
"LIST PLANK ALUMUNIUM ABU"" TUA",LIST PLANK ALUMUNIUM,"145,000","133,400"
"LIST PLANK ALUMUNIUM ABU"" MUDA",LIST PLANK ALUMUNIUM,"145,000","133,400"
LIST F SILVER,LIST F SILVER 8 MILI,"48,900","44,988"
LIST F ROSE GOLD,LIST F ROSE GOLD 8 MILI,"48,900","44,988"
LIST F GOLD,LIST F GOLD 8 MILI,"48,900","44,988"
LIST ENDING U HITAM(8MM),LIST ENDING U HITAM(8MM),"58,800","54,096"
LIST ENDING U GOLD(8MM),LIST ENDING U GOLD(8MM),"58,800","54,096"
LG-581202 (8),CHLOE,"74,500","68,540"
LG-581201 (11),CHLOE,"74,500","68,540"
LG-581103 (12),CHLOE,"74,500","68,540"
LG-581102 (9),CHLOE,"74,500","68,540"
LG-580903 (63),CHLOE,"74,500","68,540"
LG-580807 (69),CHLOE,"74,500","68,540"
LG-580805 (70),CHLOE,"74,500","68,540"
LG-580704 (76),CHLOE,"74,500","68,540"
LG-580703 (82),CHLOE,"74,500","68,540"
LG-580604 (52),CHLOE,"74,500","68,540"
LG-580202 (105),CHLOE,"74,500","68,540"
LG-580102 (60),CHLOE,"74,500","68,540"
LEM WALLPAPER GREATWALL,LEM WALLPAPER GREATWALL 80 GRAM,"27,000","24,840"
LEM SEALENT SL- CLEAR,LEM SEALENT ASAM,"27,000","24,840"
LEM SEALENT NETRAL,LEM SEALENT NON ASAM,"39,000","35,880"
LEM POWER GLUE,LEM KOREA,"8,200","7,544"
LEM FOX GRADE B (2.5KG),LEM UNTUK VINIL LANTAI,"207,800","191,176"
LEM FOX GRADE A (2.5KG),LEM UNTUK VINIL LANTAI,"207,800","191,176"
KW CUSTOM (FRAME),FRAME WPC,"30,000","27,600"
KW 92 (FRAME),FRAME WPC,"30,000","27,600"
KW 56 (FRAME),WPC,"30,000","27,600"
KW 47 (FRAME),FRAME WPC,"30,000","27,600"
KW 24 (FRAME),FRAME WPC,"30,000","27,600"
KW 121 (FRAME),WPC,"30,000","27,600"
KW 114 (FRAME),FRAME WPC,"30,000","27,600"
KW 101 (FRAME),FRAME WPC,"30,000","27,600"
KW 10 (FRAME),FRAME WPC,"30,000","27,600"
KW 09 FRAME,FRAME WPC HITAM,"30,000","27,600"
KW 08 (FRAME),FRAME WPC,"30,000","27,600"
KW 05 FRAME,FRAME WPC,"30,000","27,600"
KW 03 FRAME,FRAME WPC,"30,000","27,600"
KW 02 (FRAME),FRAME WPC,"30,000","27,600"
KW 01 (FRAME),FRAME WPC,"30,000","27,600"
KW - 003,WALLSTICKER,"30,000","27,600"
KS34 KISI PLAFON (5 CM X 9 CM),KISI - KISI PLAFON UK 5 CM X 9 CM,"106,900","98,348"
"KS34 KISI PLAFON (4CM X 4,5CM)","KISI - KISI PLAFON UK 4 CM X 4,5 CM","74,600","68,632"
KS 34 UK 4 CM X 5 CM,KISI PARTISI,"74,600","68,632"
KS 31 UK 4CM X 5 CM,KISI PARTISI (gudang sby rusak 37),"74,600","68,632"
KS 121 UK 4CM X 5CM,KISI PARTISI,"74,600","68,632"
KS 121 UK 10CM X 5CM,KISI PARTISI,"106,900","98,348"
"KS 06 UK 4CM X 5CM (1,45M)",KISI PARTISI,"480,396","441,964"
KS 06 UK 4CM X 5CM,KISI PARTISI,"74,600","68,632"
KS 06 UK 10CM X 5CM,KISI KISI PARTISI,"106,900","98,348"
"KS 02 UK 4 CM X 5 CM (1,45M)",KISI PARTISI,"308,826","284,120"
KS 02 UK 4 CM X 5 CM,KISI PARTISI,"74,600","68,632"
KLIP WPC,KLIP WPC PANEL,Rp550,506
G8Y 6069,WALLBOARD 60 CM 1 DUS ISI 5,"198,800","182,896"
G8Y 6063,WALLBOARD 60 CM 1 DUS ISI 5,"198,800","182,896"
G8Y 6062,WALLBOARD 60 CM 1 DUS ISI 5,"198,800","182,896"
G8Y 6060,WALLBOARD 60 CM 1 DUS ISI 5,"198,800","182,896"
G8Y 6060,WALLBOARD 60 CM 1 DUS ISI 5,"198,800","182,896"
G8Y 6031,WALLBOARD 60 CM 1 DUS ISI 5,"198,800","182,896"
G8Y 31 (KULIT BATU),KULIT BATU/FLEXI BOARD,"230,800","212,336"
G8Y 305,VINYL 2MM NEW,"299,500","275,540"
G8Y 304,VINYL 2MM NEW,"299,500","275,540"
G8Y 303,VINYL 2MM NEW,"299,500","275,540"
G8Y 302,VINYL 2MM NEW,"299,500","275,540"
G8Y 301,VINYL 2 MM NEW,"299,500","275,540"
G8Y 24 (KULIT BATU),KULIT BATU/FLEXI STONE,"230,800","212,336"
G8Y 202,VINYL 2MM,"299,500","275,540"
G8Y 201,VINYL 2MM,"299,500","275,540"
G8Y 17 (KULIT BATU),KULIT BATU/FLEXI STONE,"230,800","212,336"
G8Y 13 (KULIT BATU),KULIT BATU / FLEXI STONE,"230,800","212,336"
G8Y 13,VINYL (3 MM),"370,800","341,136"
G8Y 12,VINYL (3 MM),"370,800","341,136"
G8Y 11,VINYL (3 MM),"370,800","341,136"
G8Y 10 E,VINYL (3 MM),"370,800","341,136"
G8Y 08,VINYL (3 MM),"370,800","341,136"
G8Y 07,VINYL (3 MM),"370,800","341,136"
G8Y 06 E,VINYL (3 MM),"370,800","341,136"
G8Y 06 (KULIT BATU),KULIT BATU/FLEXI STONE,"230,800","212,336"
G8Y 05,VINYL (3 MM),"370,800","341,136"
G8Y 04,VINYL (3 MM),"370,800","341,136"
G8Y 03,VINYL (3 MM),"370,800","341,136"
G8Y 02,VINYL (3 MM),"370,800","341,136"
G8Y 01,VINYL (3 MM),"370,800","341,136"
FR GYM HITAM POLOS,FLOOR RIBBER GYM,"105,900","97,428"
FR GYM HITAM BINTIK KUNING,FLOOR RUBBER GYM,"105,900","97,428"
FR GYM HITAM BINTIK BIRU,FLOOR RUBBER GYM,"105,900","97,428"
FR GYM - HITAM BINTIK PUTIH,FLOOR RUBER GYM,"105,900","97,428"
F71145 (32) - LOT B,EG,"74,600","68,632"
F71126 (56),EIGHT,"74,600","68,632"
F71125 (55),EIGHT,"74,600","68,632"
F71096 (57),EG,"74,600","68,632"
F71093 (31),WD,"74,600","68,632"
F71093,EG,"74,600","68,632"
F71071 (15),EIGHT,"74,600","68,632"
F71063 (54),EIGHT,"74,600","68,632"
F71051 (44),EIGHT,"74,600","68,632"
F71035 (35),EG,"74,600","68,632"
F71026 (69),EIGHT,"74,600","68,632"
F71024 (62),EIGHT,"74,600","68,632"
F71023 (66),EIGHT,"74,600","68,632"
F71022 (67),EIGHT,"74,600","68,632"
ES37076 (30),GREEN 8 CITY,"74,600","68,632"
ES37044 (64),GE,"74,600","68,632"
EP-36085 (42),GREEN 8 CITY,"74,600","68,632"
DY 01,DECKING FLOOR,"217,900","200,468"
DUDUKAN KISI KISI (ISI 10 PCS),KISI KISI,"54,500","50,140"
DT 8020 VINIL ROLLAN (5M),VINIL ROLLAN PREMIUM TEBAL 2 MM (120 CM X 5 M),"318,800","293,296"
DT 8020 VINIL ROLLAN,VINIL ROLLAN PREMIUM TEBAL 2 MM (120 CM X 10 M),"559,500","514,740"
DT 8018 VINIL ROLLAN,VINIL ROLLAN PREMIUM TEBAL 2 MM (120 CM X 10 M),"559,500","514,740"
KACA BEVEL KOTAK TYPE B,KACA BEVEL KOTAK TYPE B UK 20 X 20,"30,500","28,060"
DOUBLE TAPE,DOUBLE TAPE,"9,200","8,464"
DOOR CLOSER BROWN,DOOR CLOSER ORCHAD BROWN,"129,800","119,416"
DOOR CLOSER BLACK,DOOR CLOSER ORCHAD BLACK,"129,800","119,416"
DO048 PVC SHEET(25CM X120CM),PVC SHEET MARBLE STICKER FURNITURE,"9,800","9,016"
